Unnamed: 0,Artist,Track,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Total_Views_Stream
7945,M. M. Keeravani,Young Yama,0.792,0.773,0.308,0.35,0.0,0.104,0.649,-0.5270977417244752,24028005.0
7946,M. M. Keeravani,Telugammayi,0.734,0.755,0.0466,0.369,7.45e-05,0.292,0.713,0.5217563056893266,3143237.0
7947,Harini,Pookkal Pookkum,0.589,0.424,0.0359,0.844,0.00381,0.169,0.561,-0.0256406655368062,133825707.0
7949,Harini,Moongil Thottam,0.501,0.371,0.0291,0.891,0.000114,0.101,0.286,0.3135247020947034,35946132.0
7950,Harini,Hasili Fisiliye,0.768,0.561,0.0374,0.202,0.0,0.0986,0.449,-0.7954798912107537,26862522.0
7951,Harini,"Aagaya Suriyanai (From ""Samurai"")",0.752,0.595,0.0332,0.232,0.000133,0.0442,0.681,-0.1712576436381525,10740903.0
7952,Harini,Ekkada Ekkada,0.634,0.657,0.074,0.185,4.63e-05,0.34,0.493,-0.7632780838142114,6385008.0
7953,Harini,Kadhal Yaanai,0.834,0.826,0.0912,0.0988,5.22e-05,0.128,0.7,-0.5287179584488295,16720909.0
7954,Harini,April Maathathil,0.776,0.763,0.0738,0.35,0.00844,0.108,0.776,-0.237889056427225,4379232.0
7955,Harini,Veesum Kaatrukku,0.538,0.421,0.0318,0.207,4.99e-06,0.121,0.194,-1.1311010347577382,6033625.0
7956,Harini,Oorugalle,0.737,0.702,0.178,0.149,0.0,0.0855,0.604,-1.0290273811234143,18665275.0
7957,Aline Barros,"Sonda-me, Usa-me",0.292,0.565,0.0335,0.423,0.0,0.566,0.173,0.530059916401643,63838851.0
7958,Aline Barros,Ressuscita-me,0.453,0.524,0.0362,0.411,0.0,0.888,0.179,0.6522175065149423,92749593.0
7959,Aline Barros,Refinador (Refiner),0.492,0.655,0.038,0.569,0.0,0.168,0.42,0.116938406206376,11415907.0
7960,Aline Barros,Imensurável,0.411,0.581,0.0586,0.0829,0.0,0.0994,0.183,0.772518598298252,22057823.0
7961,Aline Barros,Casa do Pai,0.34,0.592,0.0319,0.315,0.0,0.416,0.255,0.516996919061536,25440754.0
7962,Aline Barros,Jeová Jireh,0.398,0.754,0.0541,0.00439,0.0,0.237,0.111,0.4525933042684513,15497736.0
7963,Aline Barros,Autor da Vida,0.505,0.522,0.0256,0.532,0.0,0.0963,0.389,0.6551541493278341,62941935.0
7964,Aline Barros,Ele Vem / A Cidade Santa - Ao Vivo,0.453,0.431,0.0322,0.858,2.94e-06,0.125,0.414,-1.673806128386261,23442468.0
7965,Aline Barros,Corra para os Braços do Pai (If This World) [Ao Vivo Em Paris],0.639,0.662,0.0564,0.725,1.52e-05,0.208,0.401,-1.030478825272315,1048899.0
7966,Aline Barros,Primeiro Amor,0.649,0.434,0.0317,0.452,0.0,0.0818,0.264,0.0462902061215084,12019702.0
7967,Rolf Zuckowski,In der Weihnachtsbäckerei,0.817,0.451,0.0376,0.488,0.0,0.196,0.917,0.8731745622987656,99354434.0
7968,Rolf Zuckowski,Du da im Radio,0.617,0.749,0.0487,0.194,0.000855,0.0725,0.513,-0.0748209940239784,8210545.0
7969,Rolf Zuckowski,Es schneit,0.704,0.589,0.0303,0.427,0.0,0.296,0.834,-0.0130502314079691,18634757.0
7970,Rolf Zuckowski,Theo (Der Bananenbrot-Song),0.713,0.76,0.112,0.788,0.0,0.298,0.75,0.0568553693449025,6384178.0
7971,Rolf Zuckowski,"Schneeflöckchen, Weissröckchen",0.731,0.176,0.0424,0.893,9.53e-06,0.132,0.802,-0.3540720973694675,14738291.0
7972,Rolf Zuckowski,Winterkinder,0.604,0.573,0.0277,0.7,0.0,0.139,0.616,0.44169059589415,11541176.0
7973,Rolf Zuckowski,"Guten Tag, ich bin der Nikolaus",0.619,0.431,0.0465,0.56,0.0,0.0594,0.909,1.0979121237727496,18587599.0
7974,Rolf Zuckowski,Fröhliche Weihnacht (Macht euch bereit),0.511,0.423,0.0289,0.592,0.000204,0.102,0.523,-0.1811814710748228,8943093.0
7975,Rolf Zuckowski,Dezemberträume,0.713,0.512,0.0274,0.421,6.59e-05,0.11,0.696,-0.2964868946247067,6760312.0
7976,Rolf Zuckowski,Weihnachtszeit,0.564,0.445,0.0405,0.669,6.44e-06,0.091,0.883,1.820393764774424,7503236.0
7977,South Park Mexican,Mexican Radio,0.749,0.475,0.0703,0.0507,0.0,0.29,0.309,-1.5396994399308486,43609422.0
7978,South Park Mexican,I Must Be High,0.774,0.622,0.186,0.0331,0.0,0.0722,0.321,1.3993399435328382,64693131.0
7979,South Park Mexican,Bloody War,0.809,0.577,0.0346,0.0323,2.72e-06,0.149,0.379,-1.201074144540791,38267408.0
7980,South Park Mexican,Filthy Rich,0.697,0.706,0.0248,0.061,0.0,0.2,0.385,-0.9625984954248864,30230357.0
7981,South Park Mexican,SPM vs Los,0.799,0.617,0.189,0.0446,0.0,0.068,0.608,0.3845442018455683,20245543.0
7982,South Park Mexican,Wiggy,0.846,0.666,0.179,0.000344,0.000862,0.148,0.128,-0.8268715902451194,27482933.0
7983,South Park Mexican,In My Hood,0.842,0.615,0.146,0.0448,9.16e-06,0.117,0.669,0.815690623099277,25654794.0
7984,South Park Mexican,Real Gangsta,0.751,0.681,0.109,0.106,0.000108,0.374,0.0648,-0.9353923562617696,19797471.0
7985,South Park Mexican,High Everyday - Screwed,0.771,0.496,0.0278,0.0631,3.74e-06,0.141,0.424,-1.1412273892849527,13487675.0
7986,South Park Mexican,Stay on Your Grind - Screwed,0.637,0.607,0.0484,0.343,3.62e-05,0.282,0.291,-1.297544548670056,23573461.0
7987,Rammstein,Sonne,0.51,0.917,0.0854,0.0054,0.000133,0.396,0.313,-1.5353113529690556,260025570.0
7988,Rammstein,Deutschland,0.521,0.895,0.0442,5.54e-05,0.349,0.0985,0.237,-0.0157168381001354,622231649.0
7989,Rammstein,Du hast,0.64,0.922,0.0385,0.00369,0.055,0.332,0.716,0.1526506831723532,888095126.0
7990,Rammstein,Dicke Titten,0.63,0.823,0.0496,0.0205,0.00458,0.0377,0.565,-0.1193094449135413,108589056.0
7991,Rammstein,Armee der Tristen,0.447,0.901,0.0491,0.000415,0.000103,0.225,0.334,-1.1669820842991685,54035559.0
7992,Rammstein,Ausländer,0.681,0.912,0.0912,0.000757,0.00136,0.359,0.479,0.1501528490556404,215966194.0
7993,Rammstein,Angst,0.639,0.86,0.069,0.000306,0.00549,0.0507,0.328,-0.288858374214205,76574641.0
